ano,id_municipio,taxa_liquida_matricula_pre_escola,municipio
2010,2111300,73.2,São Luis
2011,2111300,72.1,São Luis
2012,2111300,69.2,São Luis
2013,2111300,85.6,São Luis
2014,2111300,83.6,São Luis
2015,2111300,81.7,São Luis
2016,2111300,81.9,São Luis
2017,2111300,79.4,São Luis
2018,2111300,78.3,São Luis
2019,2111300,78.5,São Luis
2010,2211001,72.0,Teresina
2011,2211001,71.9,Teresina
2012,2211001,61.7,Teresina
2013,2211001,83.8,Teresina
2014,2211001,84.9,Teresina
2015,2211001,82.4,Teresina
2016,2211001,82.5,Teresina
2017,2211001,82.1,Teresina
2018,2211001,82.3,Teresina
2019,2211001,84.4,Teresina
2010,2304400,61.7,Fortaleza
2011,2304400,60.6,Fortaleza
2012,2304400,60.1,Fortaleza
2013,2304400,76.3,Fortaleza
2014,2304400,76.0,Fortaleza
2015,2304400,72.5,Fortaleza
2016,2304400,72.1,Fortaleza
2017,2304400,72.5,Fortaleza
2018,2304400,72.7,Fortaleza
2019,2304400,74.9,Fortaleza
2010,2408102,58.3,Natal
2011,2408102,59.5,Natal
2012,2408102,56.5,Natal
2013,2408102,71.7,Natal
2014,2408102,72.4,Natal
2015,2408102,70.1,Natal
2016,2408102,70.7,Natal
2017,2408102,69.9,Natal
2018,2408102,72.2,Natal
2019,2408102,72.3,Natal
2010,2507507,34.3,João Pessoa
2011,2507507,38.8,João Pessoa
2012,2507507,38.1,João Pessoa
2013,2507507,49.8,João Pessoa
2014,2507507,50.4,João Pessoa
2015,2507507,51.5,João Pessoa
2016,2507507,52.9,João Pessoa
2017,2507507,51.3,João Pessoa
2018,2507507,54.6,João Pessoa
2019,2507507,59.2,João Pessoa
2010,2611606,51.9,Recife
2011,2611606,55.4,Recife
2012,2611606,54.8,Recife
2013,2611606,66.0,Recife
2014,2611606,65.3,Recife
2015,2611606,61.4,Recife
2016,2611606,65.7,Recife
2017,2611606,66.4,Recife
2018,2611606,67.6,Recife
2019,2611606,67.7,Recife
2010,2704302,32.1,Maceió
2011,2704302,34.3,Maceió
2012,2704302,35.2,Maceió
2013,2704302,41.1,Maceió
2014,2704302,42.0,Maceió
2015,2704302,40.0,Maceió
2016,2704302,42.7,Maceió
2017,2704302,43.3,Maceió
2018,2704302,45.2,Maceió
2019,2704302,45.9,Maceió
2010,2800308,42.3,Aracaju
2011,2800308,44.9,Aracaju
2012,2800308,45.7,Aracaju
2013,2800308,56.0,Aracaju
2014,2800308,57.3,Aracaju
2015,2800308,54.2,Aracaju
2016,2800308,56.1,Aracaju
2017,2800308,54.5,Aracaju
2018,2800308,54.6,Aracaju
2019,2800308,57.1,Aracaju
2010,2927408,27.9,Salvador
2011,2927408,25.8,Salvador
2012,2927408,38.8,Salvador
2013,2927408,39.8,Salvador
2014,2927408,44.0,Salvador
2015,2927408,43.1,Salvador
2016,2927408,49.3,Salvador
2017,2927408,50.3,Salvador
2018,2927408,53.3,Salvador
2019,2927408,55.2,Salvador
